_id,id_str,content,user_loc,user_screen_name,retweet_count,fav_count,created_at
5fff8cf70b7de2d33c3f7a9d,1.34951021528527E+018,"RT @NewtonCoSchools: NCSS Announces Remote Learning to Continue Through January 22, 2021 https://t.co/QXeJsC5x7Y https://t.co/iIPLs2cRYY","Covington, GA",CounselorsRFab,0,0,2021-01-14 00:14:42
5fff8d270b7de2d33c3f7a9e,1.34951041749262E+018,"RT @NewtonCoSchools: NCSS Announces Remote Learning to Continue Through January 22, 2021 https://t.co/QXeJsC5x7Y https://t.co/iIPLs2cRYY","Covington, GA",NCCA_STEM,0,0,2021-01-14 00:15:30
5fff8d410b7de2d33c3f7a9f,1.34951052378472E+018,"If you need meals tomorrow, please contact the office. Students need to log attendance, and logon as they did during remote learning and attend live sessions. There will be no extracurricular activities at TJHS until Monday, January 18, 2021.","Pennsylvania, USA",TJHSnews,0,0,2021-01-14 00:15:56
5fff8d540b7de2d33c3f7aa0,1.34951060542675E+018,"RT @shinynew_oz: Some years ago I went through multiple failed IVF rounds. Grieving, I told my boss that I wanted to ease off on my career…","Washington, USA",funjon,0,0,2021-01-14 00:16:15
5fff8d6b0b7de2d33c3f7aa1,1.34951070260051E+018,RT @NBCLX: Washington Post reporter @laurameckler breaks down some of the reasons why remote learning is failing so many of our kids and th…,"Washington, DC",maci_morin,0,0,2021-01-14 00:16:38
5fff8e010b7de2d33c3f7aa2,1.34951132963217E+018,@JaybartoloJay They should try that reverse remote learning. Kids are in school but teacher teases the class from home and it's presented on a projector screen in the class,"Camillus, NY",CuseWaterBoy,0,0,2021-01-14 00:19:08
5fff8e0b0b7de2d33c3f7aa3,1.34951137098802E+018,"A3
I think popular topics are distance learning remote teaching student engagement diversity equity and social emotional learning #EVERFIedchat","Pennsylvania, USA",MrsEngler1,0,0,2021-01-14 00:19:18
5fff8e590b7de2d33c3f7aa4,1.34951169958657E+018,"5:34pm-Received call from son's school inviting remote learners to join in-school learning 2 days a week.

7:02pm-Received a call from school reporting another positive case. This makes at least 20 (that we know about) for the school year.

No, he's not coming back yet. 
#COVID19","High Point, NC",crawlspinfly,0,0,2021-01-14 00:20:36
5fff8edd0b7de2d33c3f7aa5,1.34951225096556E+018,"RT @NewtonCoSchools: NCSS Announces Remote Learning to Continue Through January 22, 2021 https://t.co/QXeJsC5x7Y https://t.co/iIPLs2cRYY","Covington, GA",crenshaw_dr,0,0,2021-01-14 00:22:48
5fff8f920b7de2d33c3f7aa6,1.34951301065889E+018,Penquis Valley will be remote learning until 1/25.  Athletics on pause for MS and HS until we are back to in person learning. https://t.co/NLcyePnSuK,"Milo, ME",PenquisAth,0,0,2021-01-14 00:25:49
5fff90510b7de2d33c3f7aa7,1.34951381080624E+018,"Alexander City Schools to Switch to Remote Learning on January 19  https://t.co/DpB65gLqqP 
#alnews #alexandercity #coronavirus #covid19 #alabamanewsnetwork","Montgomery, Alabama",ALNewsNetwork,0,0,2021-01-14 00:28:59
5fff90540b7de2d33c3f7aa8,1.3495138234395E+018,"👀 Looks like remote learning will be with us a bit longer 😩 We can send you a blazing-fast PRE-CONFIGURED Wi-Fi 6 certified setup, with everything you need to get you up and running fast. Learn more https://t.co/absyQupsLu #WhyReboot #WiFi6 #AccessPoints #FlushMount #WhyReboot https://t.co/O7shUSGSBl","Miami, Fl",WhyReboot,0,0,2021-01-14 00:29:02
5fff906c0b7de2d33c3f7aa9,1.34951392454319E+018,RT @sheathescholar: some of my most brilliant students struggled to follow school policies aimed at controlling their movement and expressi…,"Virginia, USA",Sra_DJGC,0,0,2021-01-14 00:29:27
5fff908d0b7de2d33c3f7aaa,1.34951406366827E+018,"“It’s just so amazing ...” Jordan-Matthews senior Jacquelinne Marroquin Tobar told the News + Record. “No, (remote learning’s) not my thing, but it gives time and opportunities to do many things.”

https://t.co/vRVtMY29uG","North Carolina, USA",ChathamNR,0,0,2021-01-14 00:30:00
5fff908e0b7de2d33c3f7aab,1.34951406803454E+018,RFA is looking for help and feedback from parents to keep kids engaged during remote learning. https://t.co/xLtkOrzmpN,"Utica, New York",WKTV,0,0,2021-01-14 00:30:01
5fff90b10b7de2d33c3f7aac,1.34951421349297E+018,"The future in health care belongs to the fields of genomics, artificial intelligence &amp; machine learning integration and remote monitoring. US biotech companies are taking long strides towards it starting 2020 onwards. Huge upside potential in stocks in these respective area too.",new York ,dheerajkaul4,0,0,2021-01-14 00:30:35
5fff91510b7de2d33c3f7aae,1.34951488555892E+018,"RT @edutopia: What do you do to make remote learning feel more personal? These tips will help draw in your students.
https://t.co/2xJianhy4X","New York, USA",HumbertoEduca,0,0,2021-01-14 00:33:16
5fff91960b7de2d33c3f7ab2,1.34951517557407E+018,My first grader made a puppet show at home today for remote learning in reading using a favorite character/book. He worked really hard on it and had a lot of fun! Our teachers are the best! #WEareLakota @The_Pigeon https://t.co/YRYg19p1i0,"Ohio, USA",emeleanor,0,0,2021-01-14 00:34:25
5fff92690b7de2d33c3f7ab4,1.34951606056375E+018,RT @MichelleCullot1: Really looking forward to facilitating “Ready for Remote Maths” tomorrow. An opportunity for teachers to connect with…,"moneygold, Grange, Co. Sligo",CarnsSchool,0,0,2021-01-14 00:37:56
5fff938c0b7de2d33c3f7ab5,1.34951728033034E+018,"RT @MsKBurke1: Hi all, I've created this video of useful tips that I have learned for managing live lessons 🎥 during remote learning using…","Texas, USA",jaymej,0,0,2021-01-14 00:42:47
5fff946c0b7de2d33c3f7ab7,1.34951822041646E+018,RT @aimeetinkler: How about @tes run an article on how small primary schools with mixed age classes are managing remote learning. Mr Hall’s…,Scarborough,swift4_anne,0,0,2021-01-14 00:46:31
5fff95350b7de2d33c3f7ab8,1.34951906437324E+018,From one of my students making the most of remote online learning https://t.co/bUSMmLba0L,"Carlsbad, CA",14tbloom,0,0,2021-01-14 00:49:52
5fff957d0b7de2d33c3f7abb,1.34951936402698E+018,RT @jacklyngbrandt: We miss our Tigers! So excited to open our doors and welcome students and staff back to @IndianTrailScho on 2/1 🧡💙 #112…,"Illinois, Chicago Suburbs",mikelubelfeld,0,0,2021-01-14 00:51:03
5fff96950b7de2d33c3f7ac0,1.34952053883057E+018,"RT @AaronGenest: An employee came to me last week and asked to move to 80% time. Her husband, she said, was taking on some extra responsibi…","Norman, Oklahoma",jmwolfinbarger,0,0,2021-01-14 00:55:43
5fff96a40b7de2d33c3f7ac1,1.34952060278954E+018,Gov. Ned Lamont said his administration will be pushing private companies to expand broadband access across Connecticut to help remote learning for education and spur economic development. https://t.co/gSSA4FpB20,"Hartford, Connecticut",hartfordcourant,0,0,2021-01-14 00:55:59
5fff96f10b7de2d33c3f7ac3,1.34952092564593E+018,"RT @patrick_wall: ""Attendance"" during remote learning can mean turning in daily work or checking in with a teacher — and still, more than 2…","New York, NY",AJNierenberg,0,0,2021-01-14 00:57:16
5fff97200b7de2d33c3f7ac4,1.34952112545011E+018,"RT @Flipgrid: This one page PDF contains all the information you need to get started using @Flipgrid in a remote learning environment.

Lea…","Kansas City, MO",miss_fry3,0,0,2021-01-14 00:58:03
5fff97410b7de2d33c3f7ac5,1.34952126173983E+018,"RT @AprilRequard: If you haven’t checked out https://t.co/1kSmQ5GbAz you are missing out! Great tools to engage students in remote, hybrid,…","Wisconsin, USA",FelecityTreptow,0,0,2021-01-14 00:58:36
5fff97bf0b7de2d33c3f7ac7,1.34952178935393E+018,"RT @patrick_wall: ""Attendance"" during remote learning can mean turning in daily work or checking in with a teacher — and still, more than 2…","Albany, NY",ashanock,0,0,2021-01-14 01:00:42
5fff988b0b7de2d33c3f7ac8,1.34952264393078E+018,RT @hartfordcourant: Gov. Ned Lamont said his administration will be pushing private companies to expand broadband access across Connecticu…,Connecticut,Patrice822,0,0,2021-01-14 01:04:05
5fff99190b7de2d33c3f7ac9,1.34952324366996E+018,"@clareos86 Exactly, just gotta do it 😂 God willing, only two more days of remote learning.... 🙏🏻🙏🏻","New York, NY",Kay_Padfoot,0,0,2021-01-14 01:06:28
5fff99780b7de2d33c3f7acb,1.34952363831217E+018,"RT @Kareemfarah23: Some reasons a certain portion of kids are thriving during remote learning:

1. Freedom to be self-directed learners
2.…","Washington, DC",JimReesePZ,0,0,2021-01-14 01:08:02
5fff9a2e8febc50589d7972f,1.34952440356294E+018,Mandatory COVID-19 quarantine causes approximately half of Troy Middle School's seventh-grade students to move to remote learning starting Thursday. https://t.co/Xhb5Eiazr6,"Albany, NY",timesunion,0,0,2021-01-14 01:11:05
5fff9a408febc50589d79730,1.34952447895976E+018,"The state's top education official called the decision to keep Pawtucket students remote for the remainder of the school year ""disturbing."" @AshCullinane has the story. https://t.co/BXvNSvCgl5","Providence, Rhode Island",NBC10,0,0,2021-01-14 01:11:23
5fff9a838febc50589d79731,1.34952475946223E+018,"@ernietedeschi Yep, the other groups are holding steady or shrinking. Women are leaving the labor force. Care for others has got to play a role here. Not that my kids have been on remote learning for nearly a year.",Washington DC,KimberlyBurham,0,0,2021-01-14 01:12:30
